dataset,model,seed,method,rank,accuracy,baseline_accuracy,baseline_gap_pp,total_params,conv_params,baseline_total_params,baseline_conv_params
mnist,lenet5,0,baseline,8,99.0500,99.0500,0.0000,61706,2572,61706,2572
mnist,lenet5,0,cp_no_ft,8,9.7400,99.0500,-89.3100,59548,414,61706,2572
mnist,lenet5,0,global_ft,8,97.3300,99.0500,-1.7200,59548,414,61706,2572
mnist,lenet5,0,kd_ft,8,97.8300,99.0500,-1.2200,59548,414,61706,2572
mnist,lenet5,0,feature_align_ft,8,97.6900,99.0500,-1.3600,59548,414,61706,2572
mnist,lenet5,0,progressive_rank_ft,8,96.5900,99.0500,-2.4600,59548,414,61706,2572
mnist,lenet5,0,per_layer_rank_ft,"conv1=4,conv2=10",96.4200,99.0500,-2.6300,59544,410,61706,2572
mnist,lenet5,0,layerwise_ft,8,99.0400,99.0500,-0.0100,59548,414,61706,2572
mnist,lenet5,0,data_aware_layerwise_ft,8,99.0500,99.0500,0.0000,59548,414,61706,2572
mnist,lenet5,0,rebalance_layerwise_ft,8,98.8800,99.0500,-0.1700,59548,414,61706,2572
mnist,lenet5,0,stable_layerwise_ft,8,98.9100,99.0500,-0.1400,59548,414,61706,2572
mnist,lenet5,1,baseline,8,98.8200,98.8200,0.0000,61706,2572,61706,2572
mnist,lenet5,1,cp_no_ft,8,9.7700,98.8200,-89.0500,59548,414,61706,2572
mnist,lenet5,1,global_ft,8,96.5100,98.8200,-2.3100,59548,414,61706,2572
mnist,lenet5,1,kd_ft,8,96.2800,98.8200,-2.5400,59548,414,61706,2572
mnist,lenet5,1,feature_align_ft,8,97.5200,98.8200,-1.3000,59548,414,61706,2572
mnist,lenet5,1,progressive_rank_ft,8,87.7400,98.8200,-11.0800,59548,414,61706,2572
mnist,lenet5,1,per_layer_rank_ft,"conv1=4,conv2=10",97.4800,98.8200,-1.3400,59544,410,61706,2572
mnist,lenet5,1,layerwise_ft,8,98.6100,98.8200,-0.2100,59548,414,61706,2572
mnist,lenet5,1,data_aware_layerwise_ft,8,98.9700,98.8200,0.1500,59548,414,61706,2572
mnist,lenet5,1,rebalance_layerwise_ft,8,98.7100,98.8200,-0.1100,59548,414,61706,2572
mnist,lenet5,1,stable_layerwise_ft,8,98.5200,98.8200,-0.3000,59548,414,61706,2572
mnist,lenet5,2,baseline,8,99.0300,99.0300,0.0000,61706,2572,61706,2572
mnist,lenet5,2,cp_no_ft,8,8.9200,99.0300,-90.1100,59548,414,61706,2572
mnist,lenet5,2,global_ft,8,96.3000,99.0300,-2.7300,59548,414,61706,2572
mnist,lenet5,2,kd_ft,8,96.9900,99.0300,-2.0400,59548,414,61706,2572
mnist,lenet5,2,feature_align_ft,8,97.7100,99.0300,-1.3200,59548,414,61706,2572
mnist,lenet5,2,progressive_rank_ft,8,94.4400,99.0300,-4.5900,59548,414,61706,2572
mnist,lenet5,2,per_layer_rank_ft,"conv1=4,conv2=10",96.5600,99.0300,-2.4700,59544,410,61706,2572
mnist,lenet5,2,layerwise_ft,8,98.7200,99.0300,-0.3100,59548,414,61706,2572
mnist,lenet5,2,data_aware_layerwise_ft,8,99.0100,99.0300,-0.0200,59548,414,61706,2572
mnist,lenet5,2,rebalance_layerwise_ft,8,98.7500,99.0300,-0.2800,59548,414,61706,2572
mnist,lenet5,2,stable_layerwise_ft,8,98.7200,99.0300,-0.3100,59548,414,61706,2572
mnist,lenet5,3,baseline,8,98.7400,98.7400,0.0000,61706,2572,61706,2572
mnist,lenet5,3,cp_no_ft,8,6.2500,98.7400,-92.4900,59548,414,61706,2572
mnist,lenet5,3,global_ft,8,97.0700,98.7400,-1.6700,59548,414,61706,2572
mnist,lenet5,3,kd_ft,8,97.4600,98.7400,-1.2800,59548,414,61706,2572
mnist,lenet5,3,feature_align_ft,8,97.5400,98.7400,-1.2000,59548,414,61706,2572
mnist,lenet5,3,progressive_rank_ft,8,97.3500,98.7400,-1.3900,59548,414,61706,2572
mnist,lenet5,3,per_layer_rank_ft,"conv1=4,conv2=10",96.6600,98.7400,-2.0800,59544,410,61706,2572
mnist,lenet5,3,layerwise_ft,8,98.7600,98.7400,0.0200,59548,414,61706,2572
mnist,lenet5,3,data_aware_layerwise_ft,8,99.0500,98.7400,0.3100,59548,414,61706,2572
mnist,lenet5,3,rebalance_layerwise_ft,8,98.8100,98.7400,0.0700,59548,414,61706,2572
mnist,lenet5,3,stable_layerwise_ft,8,98.8800,98.7400,0.1400,59548,414,61706,2572
mnist,lenet5,4,baseline,8,98.8100,98.8100,0.0000,61706,2572,61706,2572
mnist,lenet5,4,cp_no_ft,8,11.3500,98.8100,-87.4600,59548,414,61706,2572
mnist,lenet5,4,global_ft,8,97.5600,98.8100,-1.2500,59548,414,61706,2572
mnist,lenet5,4,kd_ft,8,97.6100,98.8100,-1.2000,59548,414,61706,2572
mnist,lenet5,4,feature_align_ft,8,97.4800,98.8100,-1.3300,59548,414,61706,2572
mnist,lenet5,4,progressive_rank_ft,8,95.3000,98.8100,-3.5100,59548,414,61706,2572
mnist,lenet5,4,per_layer_rank_ft,"conv1=4,conv2=10",97.3800,98.8100,-1.4300,59544,410,61706,2572
mnist,lenet5,4,layerwise_ft,8,98.7300,98.8100,-0.0800,59548,414,61706,2572
mnist,lenet5,4,data_aware_layerwise_ft,8,99.0400,98.8100,0.2300,59548,414,61706,2572
mnist,lenet5,4,rebalance_layerwise_ft,8,98.8100,98.8100,0.0000,59548,414,61706,2572
mnist,lenet5,4,stable_layerwise_ft,8,98.8700,98.8100,0.0600,59548,414,61706,2572
mnist,smallcnn,0,baseline,16,98.9000,98.9000,0.0000,426122,23296,426122,23296
mnist,smallcnn,0,cp_no_ft,16,11.3500,98.9000,-87.5500,405802,2976,426122,23296
mnist,smallcnn,0,global_ft,16,98.1200,98.9000,-0.7800,405802,2976,426122,23296
mnist,smallcnn,0,kd_ft,16,98.2400,98.9000,-0.6600,405802,2976,426122,23296
mnist,smallcnn,0,feature_align_ft,16,98.5500,98.9000,-0.3500,405802,2976,426122,23296
mnist,smallcnn,0,progressive_rank_ft,16,95.6200,98.9000,-3.2800,405802,2976,426122,23296
mnist,smallcnn,0,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",97.9500,98.9000,-0.9500,405810,2984,426122,23296
mnist,smallcnn,0,layerwise_ft,16,99.2800,98.9000,0.3800,405802,2976,426122,23296
mnist,smallcnn,0,data_aware_layerwise_ft,16,99.3200,98.9000,0.4200,405802,2976,426122,23296
mnist,smallcnn,0,rebalance_layerwise_ft,16,98.9000,98.9000,0.0000,405802,2976,426122,23296
mnist,smallcnn,0,stable_layerwise_ft,16,99.2800,98.9000,0.3800,405802,2976,426122,23296
mnist,smallcnn,1,baseline,16,99.1300,99.1300,0.0000,426122,23296,426122,23296
mnist,smallcnn,1,cp_no_ft,16,11.3500,99.1300,-87.7800,405802,2976,426122,23296
mnist,smallcnn,1,global_ft,16,97.4700,99.1300,-1.6600,405802,2976,426122,23296
mnist,smallcnn,1,kd_ft,16,98.4700,99.1300,-0.6600,405802,2976,426122,23296
mnist,smallcnn,1,feature_align_ft,16,98.8500,99.1300,-0.2800,405802,2976,426122,23296
mnist,smallcnn,1,progressive_rank_ft,16,97.9500,99.1300,-1.1800,405802,2976,426122,23296
mnist,smallcnn,1,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",97.9900,99.1300,-1.1400,405810,2984,426122,23296
mnist,smallcnn,1,layerwise_ft,16,99.0700,99.1300,-0.0600,405802,2976,426122,23296
mnist,smallcnn,1,data_aware_layerwise_ft,16,99.3600,99.1300,0.2300,405802,2976,426122,23296
mnist,smallcnn,1,rebalance_layerwise_ft,16,99.1300,99.1300,0.0000,405802,2976,426122,23296
mnist,smallcnn,1,stable_layerwise_ft,16,99.1000,99.1300,-0.0300,405802,2976,426122,23296
mnist,smallcnn,2,baseline,16,99.1500,99.1500,0.0000,426122,23296,426122,23296
mnist,smallcnn,2,cp_no_ft,16,8.3100,99.1500,-90.8400,405802,2976,426122,23296
mnist,smallcnn,2,global_ft,16,98.0000,99.1500,-1.1500,405802,2976,426122,23296
mnist,smallcnn,2,kd_ft,16,97.6700,99.1500,-1.4800,405802,2976,426122,23296
mnist,smallcnn,2,feature_align_ft,16,98.6000,99.1500,-0.5500,405802,2976,426122,23296
mnist,smallcnn,2,progressive_rank_ft,16,97.2900,99.1500,-1.8600,405802,2976,426122,23296
mnist,smallcnn,2,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",96.8000,99.1500,-2.3500,405810,2984,426122,23296
mnist,smallcnn,2,layerwise_ft,16,99.1900,99.1500,0.0400,405802,2976,426122,23296
mnist,smallcnn,2,data_aware_layerwise_ft,16,99.3800,99.1500,0.2300,405802,2976,426122,23296
mnist,smallcnn,2,rebalance_layerwise_ft,16,99.2100,99.1500,0.0600,405802,2976,426122,23296
mnist,smallcnn,2,stable_layerwise_ft,16,99.1600,99.1500,0.0100,405802,2976,426122,23296
mnist,smallcnn,3,baseline,16,99.2400,99.2400,0.0000,426122,23296,426122,23296
mnist,smallcnn,3,cp_no_ft,16,11.3500,99.2400,-87.8900,405802,2976,426122,23296
mnist,smallcnn,3,global_ft,16,97.8900,99.2400,-1.3500,405802,2976,426122,23296
mnist,smallcnn,3,kd_ft,16,97.9200,99.2400,-1.3200,405802,2976,426122,23296
mnist,smallcnn,3,feature_align_ft,16,98.5000,99.2400,-0.7400,405802,2976,426122,23296
mnist,smallcnn,3,progressive_rank_ft,16,98.0300,99.2400,-1.2100,405802,2976,426122,23296
mnist,smallcnn,3,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",97.5500,99.2400,-1.6900,405810,2984,426122,23296
mnist,smallcnn,3,layerwise_ft,16,99.1600,99.2400,-0.0800,405802,2976,426122,23296
mnist,smallcnn,3,data_aware_layerwise_ft,16,99.2900,99.2400,0.0500,405802,2976,426122,23296
mnist,smallcnn,3,rebalance_layerwise_ft,16,98.7100,99.2400,-0.5300,405802,2976,426122,23296
mnist,smallcnn,3,stable_layerwise_ft,16,99.1700,99.2400,-0.0700,405802,2976,426122,23296
mnist,smallcnn,4,baseline,16,98.9800,98.9800,0.0000,426122,23296,426122,23296
mnist,smallcnn,4,cp_no_ft,16,11.6100,98.9800,-87.3700,405802,2976,426122,23296
mnist,smallcnn,4,global_ft,16,98.3200,98.9800,-0.6600,405802,2976,426122,23296
mnist,smallcnn,4,kd_ft,16,98.2700,98.9800,-0.7100,405802,2976,426122,23296
mnist,smallcnn,4,feature_align_ft,16,98.2500,98.9800,-0.7300,405802,2976,426122,23296
mnist,smallcnn,4,progressive_rank_ft,16,97.2300,98.9800,-1.7500,405802,2976,426122,23296
mnist,smallcnn,4,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",98.0600,98.9800,-0.9200,405810,2984,426122,23296
mnist,smallcnn,4,layerwise_ft,16,99.2100,98.9800,0.2300,405802,2976,426122,23296
mnist,smallcnn,4,data_aware_layerwise_ft,16,99.3100,98.9800,0.3300,405802,2976,426122,23296
mnist,smallcnn,4,rebalance_layerwise_ft,16,99.1900,98.9800,0.2100,405802,2976,426122,23296
mnist,smallcnn,4,stable_layerwise_ft,16,99.2000,98.9800,0.2200,405802,2976,426122,23296
fashion-mnist,lenet5,0,baseline,8,90.5500,90.5500,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,0,cp_no_ft,8,6.5800,90.5500,-83.9700,59548,414,61706,2572
fashion-mnist,lenet5,0,global_ft,8,81.6600,90.5500,-8.8900,59548,414,61706,2572
fashion-mnist,lenet5,0,kd_ft,8,82.0100,90.5500,-8.5400,59548,414,61706,2572
fashion-mnist,lenet5,0,feature_align_ft,8,82.7500,90.5500,-7.8000,59548,414,61706,2572
fashion-mnist,lenet5,0,progressive_rank_ft,8,82.9700,90.5500,-7.5800,59548,414,61706,2572
fashion-mnist,lenet5,0,per_layer_rank_ft,"conv1=4,conv2=10",84.0500,90.5500,-6.5000,59544,410,61706,2572
fashion-mnist,lenet5,0,layerwise_ft,8,89.6400,90.5500,-0.9100,59548,414,61706,2572
fashion-mnist,lenet5,0,data_aware_layerwise_ft,8,90.2800,90.5500,-0.2700,59548,414,61706,2572
fashion-mnist,lenet5,0,rebalance_layerwise_ft,8,89.0300,90.5500,-1.5200,59548,414,61706,2572
fashion-mnist,lenet5,0,stable_layerwise_ft,8,89.5000,90.5500,-1.0500,59548,414,61706,2572
fashion-mnist,lenet5,1,baseline,8,90.3100,90.3100,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,1,cp_no_ft,8,10.3900,90.3100,-79.9200,59548,414,61706,2572
fashion-mnist,lenet5,1,global_ft,8,85.9700,90.3100,-4.3400,59548,414,61706,2572
fashion-mnist,lenet5,1,kd_ft,8,86.0300,90.3100,-4.2800,59548,414,61706,2572
fashion-mnist,lenet5,1,feature_align_ft,8,85.2100,90.3100,-5.1000,59548,414,61706,2572
fashion-mnist,lenet5,1,progressive_rank_ft,8,84.3600,90.3100,-5.9500,59548,414,61706,2572
fashion-mnist,lenet5,1,per_layer_rank_ft,"conv1=4,conv2=10",84.2900,90.3100,-6.0200,59544,410,61706,2572
fashion-mnist,lenet5,1,layerwise_ft,8,89.4800,90.3100,-0.8300,59548,414,61706,2572
fashion-mnist,lenet5,1,data_aware_layerwise_ft,8,90.2100,90.3100,-0.1000,59548,414,61706,2572
fashion-mnist,lenet5,1,rebalance_layerwise_ft,8,87.1700,90.3100,-3.1400,59548,414,61706,2572
fashion-mnist,lenet5,1,stable_layerwise_ft,8,89.5400,90.3100,-0.7700,59548,414,61706,2572
fashion-mnist,lenet5,2,baseline,8,89.9600,89.9600,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,2,cp_no_ft,8,8.6800,89.9600,-81.2800,59548,414,61706,2572
fashion-mnist,lenet5,2,global_ft,8,83.5300,89.9600,-6.4300,59548,414,61706,2572
fashion-mnist,lenet5,2,kd_ft,8,82.6300,89.9600,-7.3300,59548,414,61706,2572
fashion-mnist,lenet5,2,feature_align_ft,8,85.6300,89.9600,-4.3300,59548,414,61706,2572
fashion-mnist,lenet5,2,progressive_rank_ft,8,84.9500,89.9600,-5.0100,59548,414,61706,2572
fashion-mnist,lenet5,2,per_layer_rank_ft,"conv1=4,conv2=10",85.5500,89.9600,-4.4100,59544,410,61706,2572
fashion-mnist,lenet5,2,layerwise_ft,8,89.5400,89.9600,-0.4200,59548,414,61706,2572
fashion-mnist,lenet5,2,data_aware_layerwise_ft,8,90.6200,89.9600,0.6600,59548,414,61706,2572
fashion-mnist,lenet5,2,rebalance_layerwise_ft,8,89.3700,89.9600,-0.5900,59548,414,61706,2572
fashion-mnist,lenet5,2,stable_layerwise_ft,8,89.6800,89.9600,-0.2800,59548,414,61706,2572
fashion-mnist,lenet5,3,baseline,8,90.2500,90.2500,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,3,cp_no_ft,8,10.7100,90.2500,-79.5400,59548,414,61706,2572
fashion-mnist,lenet5,3,global_ft,8,83.5700,90.2500,-6.6800,59548,414,61706,2572
fashion-mnist,lenet5,3,kd_ft,8,83.2300,90.2500,-7.0200,59548,414,61706,2572
fashion-mnist,lenet5,3,feature_align_ft,8,85.9100,90.2500,-4.3400,59548,414,61706,2572
fashion-mnist,lenet5,3,progressive_rank_ft,8,83.9300,90.2500,-6.3200,59548,414,61706,2572
fashion-mnist,lenet5,3,per_layer_rank_ft,"conv1=4,conv2=10",85.1400,90.2500,-5.1100,59544,410,61706,2572
fashion-mnist,lenet5,3,layerwise_ft,8,89.1300,90.2500,-1.1200,59548,414,61706,2572
fashion-mnist,lenet5,3,data_aware_layerwise_ft,8,90.2400,90.2500,-0.0100,59548,414,61706,2572
fashion-mnist,lenet5,3,rebalance_layerwise_ft,8,89.3700,90.2500,-0.8800,59548,414,61706,2572
fashion-mnist,lenet5,3,stable_layerwise_ft,8,89.4000,90.2500,-0.8500,59548,414,61706,2572
