dataset,model,method,n,mean_accuracy,std,standard_error
fashion-mnist,lenet5,baseline,5,90.1680,0.3060,0.1368
fashion-mnist,lenet5,cp_no_ft,5,9.5860,1.9813,0.8861
fashion-mnist,lenet5,data_aware_layerwise_ft,5,90.3080,0.1777,0.0795
fashion-mnist,lenet5,feature_align_ft,5,84.9500,1.2631,0.5649
fashion-mnist,lenet5,global_ft,5,83.8860,1.5959,0.7137
fashion-mnist,lenet5,kd_ft,5,83.5180,1.5399,0.6887
fashion-mnist,lenet5,layerwise_ft,5,89.3860,0.2362,0.1056
fashion-mnist,lenet5,per_layer_rank_ft,5,84.4160,0.9780,0.4374
fashion-mnist,lenet5,progressive_rank_ft,5,83.3520,1.7249,0.7714
fashion-mnist,lenet5,rebalance_layerwise_ft,5,88.5820,0.9761,0.4365
fashion-mnist,lenet5,stable_layerwise_ft,5,89.4000,0.3076,0.1375
fashion-mnist,smallcnn,baseline,5,92.2920,0.1512,0.0676
fashion-mnist,smallcnn,cp_no_ft,5,9.4920,0.6273,0.2805
fashion-mnist,smallcnn,data_aware_layerwise_ft,5,92.4320,0.2090,0.0935
fashion-mnist,smallcnn,feature_align_ft,5,88.9840,0.2091,0.0935
fashion-mnist,smallcnn,global_ft,5,87.0560,1.0152,0.4540
fashion-mnist,smallcnn,kd_ft,5,86.8740,1.1300,0.5054
fashion-mnist,smallcnn,layerwise_ft,5,92.0340,0.0953,0.0426
fashion-mnist,smallcnn,per_layer_rank_ft,5,87.5200,0.8784,0.3928
fashion-mnist,smallcnn,progressive_rank_ft,5,85.9340,0.6091,0.2724
fashion-mnist,smallcnn,rebalance_layerwise_ft,5,91.7260,0.1210,0.0541
fashion-mnist,smallcnn,stable_layerwise_ft,5,91.8960,0.4414,0.1974
mnist,lenet5,baseline,5,98.8900,0.1405,0.0628
mnist,lenet5,cp_no_ft,5,9.2060,1.8721,0.8372
mnist,lenet5,data_aware_layerwise_ft,5,99.0240,0.0344,0.0154
mnist,lenet5,feature_align_ft,5,97.5880,0.1047,0.0468
mnist,lenet5,global_ft,5,96.9540,0.5355,0.2395
mnist,lenet5,kd_ft,5,97.2340,0.6159,0.2754
mnist,lenet5,layerwise_ft,5,98.7720,0.1602,0.0717
mnist,lenet5,per_layer_rank_ft,5,96.9000,0.4925,0.2203
mnist,lenet5,progressive_rank_ft,5,94.2840,3.8275,1.7117
mnist,lenet5,rebalance_layerwise_ft,5,98.7920,0.0650,0.0291
mnist,lenet5,stable_layerwise_ft,5,98.7800,0.1629,0.0729
mnist,smallcnn,baseline,5,99.0800,0.1373,0.0614
mnist,smallcnn,cp_no_ft,5,10.7940,1.3932,0.6230
mnist,smallcnn,data_aware_layerwise_ft,5,99.3320,0.0370,0.0166
mnist,smallcnn,feature_align_ft,5,98.5500,0.2151,0.0962
mnist,smallcnn,global_ft,5,97.9600,0.3169,0.1417
mnist,smallcnn,kd_ft,5,98.1140,0.3169,0.1417
mnist,smallcnn,layerwise_ft,5,99.1820,0.0766,0.0343
mnist,smallcnn,per_layer_rank_ft,5,97.6700,0.5254,0.2350
mnist,smallcnn,progressive_rank_ft,5,97.2240,0.9688,0.4332
mnist,smallcnn,rebalance_layerwise_ft,5,99.0280,0.2164,0.0968
mnist,smallcnn,stable_layerwise_ft,5,99.1820,0.0657,0.0294
